DateTime,Players,Average_Players,Twitch_Viewers,Source
2022-12-01,,,604.0,ACV
2022-12-02,,,380.0,ACV
2022-12-03,,,433.0,ACV
2022-12-04,,,557.0,ACV
2022-12-05,,,304.0,ACV
2022-12-06,1214.0,681.0,10310.0,ACV
2022-12-07,4827.0,3034.0,1240.0,ACV
2022-12-08,6580.0,5298.0,459.0,ACV
2022-12-09,7503.0,5918.0,1214.0,ACV
2022-12-10,9608.0,7639.0,686.0,ACV
2022-12-11,11522.0,9118.0,1518.0,ACV
2022-12-12,8965.0,7369.0,819.0,ACV
2022-12-13,8821.0,7187.0,3744.0,ACV
2022-12-14,8524.0,6944.0,704.0,ACV
2022-12-15,8301.0,6865.0,646.0,ACV
2022-12-16,10549.0,8404.0,647.0,ACV
2022-12-17,14235.0,11316.0,1818.0,ACV
2022-12-18,15679.0,12472.0,883.0,ACV
2022-12-19,10538.0,9551.0,521.0,ACV
2022-12-20,9868.0,7799.0,1171.0,ACV
2022-12-21,9465.0,7708.0,687.0,ACV
2022-12-22,9239.0,7629.0,791.0,ACV
2022-12-23,9803.0,7865.0,26657.0,ACV
2022-12-24,10308.0,8236.0,22799.0,ACV
2022-12-25,10105.0,8442.0,434.0,ACV
2022-12-26,11295.0,8863.0,779.0,ACV
2022-12-27,10591.0,8634.0,704.0,ACV
2022-12-28,10260.0,8317.0,1478.0,ACV
2022-12-29,10103.0,8205.0,835.0,ACV
2022-12-30,10282.0,8190.0,581.0,ACV
2022-12-31,10338.0,8080.0,451.0,ACV
2023-01-01,11279.0,8659.0,2653.0,ACV
2023-01-02,11101.0,8803.0,2079.0,ACV
2023-01-03,9289.0,7598.0,1916.0,ACV
2023-01-04,8977.0,7186.0,1232.0,ACV
2023-01-05,8898.0,6863.0,2113.0,ACV
2023-01-06,9117.0,7048.0,1556.0,ACV
2023-01-07,10232.0,7893.0,829.0,ACV
2023-01-08,10674.0,8202.0,1299.0,ACV
2023-01-09,7459.0,5818.0,1828.0,ACV
2023-01-10,6753.0,5205.0,1660.0,ACV
2023-01-11,6501.0,4913.0,1387.0,ACV
2023-01-12,6041.0,4722.0,1883.0,ACV
2023-01-13,6365.0,4793.0,1193.0,ACV
2023-01-14,7872.0,5972.0,609.0,ACV
2023-01-15,8115.0,6268.0,1260.0,ACV
2023-01-16,6214.0,4534.0,2399.0,ACV
2023-01-17,5432.0,4057.0,1942.0,ACV
2023-01-18,5121.0,3841.0,1692.0,ACV
2023-01-19,4929.0,3705.0,1593.0,ACV
2023-01-20,4932.0,3794.0,2208.0,ACV
2023-01-21,6266.0,4667.0,499.0,ACV
2023-01-22,6680.0,5023.0,1416.0,ACV
2023-01-23,4774.0,3573.0,2978.0,ACV
2023-01-24,4448.0,3354.0,1643.0,ACV
2023-01-25,4335.0,3194.0,1869.0,ACV
2023-01-26,4010.0,3086.0,1395.0,ACV
2023-01-27,4079.0,3112.0,1117.0,ACV
2023-01-28,5141.0,3833.0,315.0,ACV
2023-01-29,5470.0,4102.0,1437.0,ACV
2023-01-30,4012.0,2861.0,2011.0,ACV
2023-01-31,3718.0,2675.0,2643.0,ACV
2023-02-01,3390.0,2505.0,1838.0,ACV
2023-02-02,3401.0,2429.0,1890.0,ACV
2023-02-03,3498.0,2556.0,1087.0,ACV
2023-02-04,4493.0,3314.0,384.0,ACV
2023-02-05,4796.0,3624.0,2456.0,ACV
2023-02-06,3379.0,2454.0,1975.0,ACV
2023-02-07,3040.0,2216.0,1630.0,ACV
2023-02-08,2835.0,2090.0,1341.0,ACV
2023-02-09,2817.0,2035.0,1686.0,ACV
2023-02-10,2689.0,2040.0,1755.0,ACV
2023-02-11,3632.0,2626.0,259.0,ACV
2023-02-12,3752.0,2820.0,370.0,ACV
2023-02-13,2640.0,1897.0,384.0,ACV
2023-02-14,2362.0,1713.0,300.0,ACV
2023-02-15,2364.0,1664.0,343.0,ACV
2023-02-16,2328.0,1664.0,634.0,ACV
2023-02-17,2457.0,1766.0,340.0,ACV
2023-02-18,3067.0,2254.0,299.0,ACV
2023-02-19,3332.0,2462.0,413.0,ACV
2023-02-20,2648.0,1793.0,352.0,ACV
2023-02-21,2343.0,1629.0,477.0,ACV
2023-02-22,2156.0,1556.0,205.0,ACV
2023-02-23,2135.0,1571.0,267.0,ACV
2023-02-24,2142.0,1565.0,628.0,ACV
2023-02-25,2728.0,1999.0,357.0,ACV
2023-02-26,2897.0,2156.0,409.0,ACV
2023-02-27,2011.0,1440.0,531.0,ACV
2023-02-28,1912.0,1338.0,291.0,ACV
2023-03-01,1815.0,1302.0,339.0,ACV
2023-03-02,1808.0,1274.0,226.0,ACV
2023-03-03,2622.0,1749.0,374.0,ACV
2023-03-04,4246.0,3031.0,424.0,ACV
2023-03-05,5277.0,3972.0,548.0,ACV
2023-03-06,4160.0,3026.0,390.0,ACV
2023-03-07,4172.0,3032.0,292.0,ACV
2023-03-08,4114.0,3101.0,398.0,ACV
2023-03-09,4152.0,3072.0,338.0,ACV
2023-03-10,4236.0,3139.0,275.0,ACV
2023-03-11,5127.0,3834.0,551.0,ACV
2023-03-12,5452.0,4083.0,349.0,ACV
2023-03-13,3775.0,2757.0,405.0,ACV
2023-03-14,3529.0,2481.0,286.0,ACV
2023-03-15,3160.0,2333.0,338.0,ACV
2023-03-16,3037.0,2210.0,541.0,ACV
2023-03-17,3453.0,2469.0,572.0,ACV
2023-03-18,4770.0,3457.0,474.0,ACV
2023-03-19,5425.0,3992.0,481.0,ACV
2023-03-20,4087.0,2909.0,546.0,ACV
2023-03-21,3888.0,2862.0,1104.0,ACV
2023-03-22,3820.0,2818.0,428.0,ACV
2023-03-23,3878.0,2811.0,454.0,ACV
2023-03-24,3952.0,2881.0,243.0,ACV
2023-03-25,4906.0,3556.0,414.0,ACV
2023-03-26,5234.0,3755.0,345.0,ACV
2023-03-27,3635.0,2603.0,369.0,ACV
2023-03-28,3413.0,2405.0,313.0,ACV
2023-03-29,3319.0,2305.0,1620.0,ACV
2023-03-30,3216.0,2243.0,1794.0,ACV
2023-03-31,3392.0,2321.0,319.0,ACV
2023-04-01,4106.0,2895.0,561.0,ACV
2023-04-02,4406.0,3120.0,490.0,ACV
2023-04-03,2978.0,2146.0,2080.0,ACV
2023-04-04,2978.0,2051.0,2345.0,ACV
2023-04-05,2757.0,2115.0,1155.0,ACV
2023-04-06,2825.0,2006.0,2746.0,ACV
2023-04-07,3302.0,2271.0,228.0,ACV
2023-04-08,3503.0,2507.0,3136.0,ACV
2023-04-09,3411.0,2564.0,836.0,ACV
2023-04-10,3107.0,2121.0,1792.0,ACV
2023-04-11,2492.0,1732.0,1908.0,ACV
2023-04-12,2364.0,1642.0,1425.0,ACV
2023-04-13,2200.0,1553.0,842.0,ACV
2023-04-14,2427.0,1689.0,292.0,ACV
2023-04-15,3039.0,2151.0,246.0,ACV
2023-04-16,3301.0,2328.0,772.0,ACV
2023-04-17,2181.0,1565.0,812.0,ACV
2023-04-18,2414.0,1661.0,218.0,ACV
2023-04-19,2635.0,1845.0,980.0,ACV
2023-04-20,2800.0,1988.0,259.0,ACV
2023-04-21,3053.0,2191.0,217.0,ACV
2023-04-22,3915.0,2868.0,2256.0,ACV
2023-04-23,4683.0,3276.0,219.0,ACV
2023-04-24,3396.0,2463.0,368.0,ACV
2023-04-25,3176.0,2264.0,362.0,ACV
2023-04-26,2920.0,2015.0,1420.0,ACV
2023-04-27,2816.0,1982.0,1531.0,ACV
2023-04-28,2776.0,1962.0,228.0,ACV
2023-04-29,3262.0,2361.0,196.0,ACV
2023-04-30,3535.0,2562.0,249.0,ACV
2023-05-01,3258.0,2349.0,302.0,ACV
2023-05-02,2476.0,1801.0,265.0,ACV
2023-05-03,2316.0,1711.0,243.0,ACV
2023-05-04,2174.0,1537.0,252.0,ACV
2023-05-05,2260.0,1642.0,0.0,ACV
2023-05-06,2926.0,2027.0,295.0,ACV
2023-05-07,3154.0,2266.0,246.0,ACV
2023-05-08,2279.0,1616.0,213.0,ACV
2023-05-09,2056.0,1426.0,455.0,ACV
2023-05-10,1977.0,1364.0,1128.0,ACV
2023-05-11,1884.0,1333.0,1389.0,ACV
2023-05-12,2010.0,1377.0,227.0,ACV
2023-05-13,2423.0,1733.0,709.0,ACV
2023-05-14,2561.0,1895.0,725.0,ACV
2023-05-15,1901.0,1324.0,264.0,ACV
