"DateTime";"Positive reviews";"Negative reviews"
"2022-12-07 00:00:00";137;-44
"2022-12-08 00:00:00";245;-128
"2022-12-09 00:00:00";155;-122
"2022-12-10 00:00:00";139;-118
"2022-12-11 00:00:00";152;-106
"2022-12-12 00:00:00";162;-108
"2022-12-13 00:00:00";115;-101
"2022-12-14 00:00:00";112;-78
"2022-12-15 00:00:00";;
"2022-12-16 00:00:00";91;-91
"2022-12-17 00:00:00";149;-149
"2022-12-18 00:00:00";178;-214
"2022-12-19 00:00:00";205;-162
"2022-12-20 00:00:00";193;-113
"2022-12-21 00:00:00";87;-45
"2022-12-22 00:00:00";72;-39
"2022-12-23 00:00:00";113;-52
"2022-12-24 00:00:00";;
"2022-12-25 00:00:00";84;-39
"2022-12-26 00:00:00";101;-35
"2022-12-27 00:00:00";75;-41
"2022-12-28 00:00:00";98;-35
"2022-12-29 00:00:00";90;-38
"2022-12-30 00:00:00";100;-46
"2022-12-31 00:00:00";;
"2023-01-01 00:00:00";;
"2023-01-02 00:00:00";159;-84
"2023-01-03 00:00:00";61;-35
"2023-01-04 00:00:00";65;-20
"2023-01-05 00:00:00";66;-35
"2023-01-06 00:00:00";54;-24
"2023-01-07 00:00:00";68;-26
"2023-01-08 00:00:00";;
"2023-01-09 00:00:00";;
"2023-01-10 00:00:00";103;-59
"2023-01-11 00:00:00";35;-21
"2023-01-12 00:00:00";30;-16
"2023-01-13 00:00:00";;
"2023-01-14 00:00:00";61;-36
"2023-01-15 00:00:00";37;-19
"2023-01-16 00:00:00";29;-16
"2023-01-17 00:00:00";29;-21
"2023-01-18 00:00:00";22;-16
"2023-01-19 00:00:00";;
"2023-01-20 00:00:00";;
"2023-01-21 00:00:00";51;-33
"2023-01-22 00:00:00";28;-17
"2023-01-23 00:00:00";23;-12
"2023-01-24 00:00:00";19;-16
"2023-01-25 00:00:00";28;-19
"2023-01-26 00:00:00";;
"2023-01-27 00:00:00";49;-17
"2023-01-28 00:00:00";35;-24
"2023-01-29 00:00:00";;
"2023-01-30 00:00:00";33;-16
"2023-01-31 00:00:00";20;-5
"2023-02-01 00:00:00";13;-6
"2023-02-02 00:00:00";22;-5
"2023-02-03 00:00:00";33;-8
"2023-02-04 00:00:00";17;-14
"2023-02-05 00:00:00";35;-9
"2023-02-06 00:00:00";15;-8
"2023-02-07 00:00:00";14;-11
"2023-02-08 00:00:00";;
"2023-02-09 00:00:00";8;-9
"2023-02-10 00:00:00";10;-4
"2023-02-11 00:00:00";24;-8
"2023-02-12 00:00:00";21;-10
"2023-02-13 00:00:00";12;-7
"2023-02-14 00:00:00";;
"2023-02-15 00:00:00";;
"2023-02-16 00:00:00";13;-17
"2023-02-17 00:00:00";14;-11
"2023-02-18 00:00:00";19;-7
"2023-02-19 00:00:00";15;
"2023-02-20 00:00:00";;
"2023-02-21 00:00:00";22;-9
"2023-02-22 00:00:00";23;-10
"2023-02-23 00:00:00";17;-1
"2023-02-24 00:00:00";9;-7
"2023-02-25 00:00:00";18;-5
"2023-02-26 00:00:00";;
"2023-02-27 00:00:00";19;-9
"2023-02-28 00:00:00";12;-7
"2023-03-01 00:00:00";11;-4
"2023-03-02 00:00:00";9;-6
"2023-03-03 00:00:00";21;-8
"2023-03-04 00:00:00";35;-21
"2023-03-05 00:00:00";41;-29
"2023-03-06 00:00:00";43;-8
"2023-03-07 00:00:00";;
"2023-03-08 00:00:00";42;-15
"2023-03-09 00:00:00";28;-16
"2023-03-10 00:00:00";41;-8
"2023-03-11 00:00:00";23;-13
"2023-03-12 00:00:00";38;-11
"2023-03-13 00:00:00";32;-15
"2023-03-14 00:00:00";25;-3
"2023-03-15 00:00:00";;
"2023-03-16 00:00:00";21;-10
"2023-03-17 00:00:00";37;-14
"2023-03-18 00:00:00";28;-8
"2023-03-19 00:00:00";37;-17
"2023-03-20 00:00:00";42;-12
"2023-03-21 00:00:00";32;-11
"2023-03-22 00:00:00";;
"2023-03-23 00:00:00";20;-15
"2023-03-24 00:00:00";26;-12
"2023-03-25 00:00:00";29;-12
"2023-03-26 00:00:00";36;-15
"2023-03-27 00:00:00";24;-10
"2023-03-28 00:00:00";;
"2023-03-29 00:00:00";21;-8
"2023-03-30 00:00:00";17;-11
"2023-03-31 00:00:00";15;-8
"2023-04-01 00:00:00";19;-16
"2023-04-02 00:00:00";14;-10
"2023-04-03 00:00:00";;
"2023-04-04 00:00:00";19;-11
"2023-04-05 00:00:00";10;-6
"2023-04-06 00:00:00";21;-10
"2023-04-07 00:00:00";21;-8
"2023-04-08 00:00:00";14;-7
"2023-04-09 00:00:00";;
"2023-04-10 00:00:00";25;-4
"2023-04-11 00:00:00";19;-7
"2023-04-12 00:00:00";14;-9
"2023-04-13 00:00:00";17;-5
"2023-04-14 00:00:00";10;-5
"2023-04-15 00:00:00";;
"2023-04-16 00:00:00";23;-6
"2023-04-17 00:00:00";5;-3
"2023-04-18 00:00:00";8;-4
"2023-04-19 00:00:00";19;-3
"2023-04-20 00:00:00";21;-5
"2023-04-21 00:00:00";12;-9
"2023-04-22 00:00:00";;
"2023-04-23 00:00:00";32;-8
"2023-04-24 00:00:00";48;-8
"2023-04-25 00:00:00";23;-11
"2023-04-26 00:00:00";19;-8
"2023-04-27 00:00:00";29;-9
"2023-04-28 00:00:00";15;-2
"2023-04-29 00:00:00";;
"2023-04-30 00:00:00";25;-13
"2023-05-01 00:00:00";21;-9
"2023-05-02 00:00:00";8;-9
"2023-05-03 00:00:00";11;-3
"2023-05-04 00:00:00";10;-6
"2023-05-05 00:00:00";;
"2023-05-06 00:00:00";13;-4
"2023-05-07 00:00:00";15;-9
"2023-05-08 00:00:00";8;-9
"2023-05-09 00:00:00";13;-4
"2023-05-10 00:00:00";13;-7
"2023-05-11 00:00:00";;
"2023-05-12 00:00:00";8;-3
"2023-05-13 00:00:00";12;-2
"2023-05-14 00:00:00";13;-2
"2023-05-15 00:00:00";14;-5
"2023-05-16 00:00:00";14;-3
"2023-05-17 00:00:00";13;-1
"2023-05-18 00:00:00";;
"2023-05-19 00:00:00";;
"2023-05-20 00:00:00";15;-6
"2023-05-21 00:00:00";14;-7
"2023-05-22 00:00:00";14;-4
"2023-05-23 00:00:00";5;-9
"2023-05-24 00:00:00";;
"2023-05-25 00:00:00";12;-2
"2023-05-26 00:00:00";10;-1
"2023-05-27 00:00:00";17;-3
"2023-05-28 00:00:00";14;-1
"2023-05-29 00:00:00";7;-7
"2023-05-30 00:00:00";;
"2023-05-31 00:00:00";5;
"2023-06-01 00:00:00";4;-4
"2023-06-02 00:00:00";6;-6
"2023-06-03 00:00:00";15;-4
"2023-06-04 00:00:00";9;-5
"2023-06-05 00:00:00";;
"2023-06-06 00:00:00";10;-4
"2023-06-07 00:00:00";11;-3
"2023-06-08 00:00:00";10;-1
"2023-06-09 00:00:00";19;-16
"2023-06-10 00:00:00";;
"2023-06-11 00:00:00";;
"2023-06-12 00:00:00";99;-67
"2023-06-13 00:00:00";52;-27
"2023-06-14 00:00:00";57;-28
"2023-06-15 00:00:00";75;-28
"2023-06-16 00:00:00";;
"2023-06-17 00:00:00";71;-22
"2023-06-18 00:00:00";50;-18
"2023-06-19 00:00:00";46;-20
"2023-06-20 00:00:00";42;-11
"2023-06-21 00:00:00";42;-17
"2023-06-22 00:00:00";;
"2023-06-23 00:00:00";36;-16
"2023-06-24 00:00:00";25;-15
"2023-06-25 00:00:00";19;-14
"2023-06-26 00:00:00";25;-12
"2023-06-27 00:00:00";;
"2023-06-28 00:00:00";22;-14
"2023-06-29 00:00:00";22;-7
"2023-06-30 00:00:00";34;-13
"2023-07-01 00:00:00";;
"2023-07-02 00:00:00";40;-22
"2023-07-03 00:00:00";48;-22
"2023-07-04 00:00:00";57;-26
"2023-07-05 00:00:00";;
"2023-07-06 00:00:00";62;-25
"2023-07-07 00:00:00";41;-20
"2023-07-08 00:00:00";59;-22
"2023-07-09 00:00:00";;
"2023-07-10 00:00:00";63;-27
"2023-07-11 00:00:00";56;-31
"2023-07-12 00:00:00";77;-23
"2023-07-13 00:00:00";;
"2023-07-14 00:00:00";53;-24
"2023-07-15 00:00:00";58;-8
"2023-07-16 00:00:00";50;-33
"2023-07-17 00:00:00";;
"2023-07-18 00:00:00";44;-24
"2023-07-19 00:00:00";26;-8
"2023-07-20 00:00:00";29;-21
"2023-07-21 00:00:00";;
"2023-07-22 00:00:00";26;-14
"2023-07-23 00:00:00";21;-9
"2023-07-24 00:00:00";20;-13
"2023-07-25 00:00:00";50;-22
"2023-07-26 00:00:00";;
"2023-07-27 00:00:00";45;-20
"2023-07-28 00:00:00";55;-20
"2023-07-29 00:00:00";42;-27
"2023-07-30 00:00:00";;
"2023-07-31 00:00:00";67;-24
"2023-08-01 00:00:00";49;-26
"2023-08-02 00:00:00";42;-32
"2023-08-03 00:00:00";29;-22
"2023-08-04 00:00:00";;
"2023-08-05 00:00:00";30;-16
"2023-08-06 00:00:00";38;-13
"2023-08-07 00:00:00";31;-28
"2023-08-08 00:00:00";;
"2023-08-09 00:00:00";27;-15
"2023-08-10 00:00:00";26;-10
"2023-08-11 00:00:00";30;-23
"2023-08-12 00:00:00";;
"2023-08-13 00:00:00";26;-14
"2023-08-14 00:00:00";31;-12
"2023-08-15 00:00:00";25;-16
"2023-08-16 00:00:00";;
"2023-08-17 00:00:00";;
"2023-08-18 00:00:00";33;-26
"2023-08-19 00:00:00";;
"2023-08-20 00:00:00";;
"2023-08-21 00:00:00";32;-18
"2023-08-22 00:00:00";25;-9
"2023-08-23 00:00:00";;
"2023-08-24 00:00:00";;
"2023-08-25 00:00:00";;
"2023-08-26 00:00:00";51;-22
"2023-08-27 00:00:00";;
"2023-08-28 00:00:00";;
"2023-08-29 00:00:00";48;-20
"2023-08-30 00:00:00";15;-2
"2023-08-31 00:00:00";20;-6
"2023-09-01 00:00:00";;
"2023-09-02 00:00:00";13;-7
"2023-09-03 00:00:00";17;-5
"2023-09-04 00:00:00";19;-12
"2023-09-05 00:00:00";29;-17
"2023-09-06 00:00:00";;
"2023-09-07 00:00:00";;
"2023-09-08 00:00:00";59;-33
"2023-09-09 00:00:00";52;-9
"2023-09-10 00:00:00";;
"2023-09-11 00:00:00";70;-29
"2023-09-12 00:00:00";36;-21
"2023-09-13 00:00:00";54;-14
"2023-09-14 00:00:00";;
"2023-09-15 00:00:00";39;-11
"2023-09-16 00:00:00";26;-13
"2023-09-17 00:00:00";34;-19
"2023-09-18 00:00:00";;
"2023-09-19 00:00:00";27;-8
"2023-09-20 00:00:00";24;-9
"2023-09-21 00:00:00";18;-7
"2023-09-22 00:00:00";;
"2023-09-23 00:00:00";;
"2023-09-24 00:00:00";65;-18
"2023-09-25 00:00:00";19;-9
"2023-09-26 00:00:00";;
"2023-09-27 00:00:00";21;-4
"2023-09-28 00:00:00";15;-2
"2023-09-29 00:00:00";19;-8
"2023-09-30 00:00:00";;
"2023-10-01 00:00:00";21;-5
"2023-10-02 00:00:00";20;-7
"2023-10-03 00:00:00";18;-6
"2023-10-04 00:00:00";;
"2023-10-05 00:00:00";20;-6
"2023-10-06 00:00:00";16;-13
"2023-10-07 00:00:00";25;-7
"2023-10-08 00:00:00";;
"2023-10-09 00:00:00";34;-12
"2023-10-10 00:00:00";13;-8
"2023-10-11 00:00:00";13;-12
"2023-10-12 00:00:00";;
"2023-10-13 00:00:00";24;-11
"2023-10-14 00:00:00";24;-11
